id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt
20021,11265,Villacher Alpe,46.60361,13.67278,2117.0,1997-08-31 16:50:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,nein
20101,11216,Kanzelhöhe,46.67722,13.90194,1520.0,2001-11-01 00:10:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,122,2002-01-01 00:00:00+00:00,,nein
20105,11275,Arriach,46.72769,13.85244,890.2,2005-01-19 13:40:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,nein
20123,11213,Villach-Stadt,46.61806,13.87389,493.0,1994-06-15 11:50:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,100,1993-12-01 00:00:00+00:00,,nein
20202,11235,Ferlach,46.53111,14.31417,459.1,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,120,2008-01-01 00:00:00+00:00,,nein
20209,8989076,Klagenfurt/HTL1-Lastenstraße,46.61944,14.316667,441.0,2021-04-21 15:20:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,nein
20211,11231,Klagenfurt Flughafen,46.65001,14.33333,477.0,1992-11-26 11:30:00+00:00,1996-08-31 23:50:00+00:00,Kärnten,True,True,,48,1991-04-01 00:00:00+00:00,1996-08-31 23:59:59+00:00,nein
20212,11331,Klagenfurt Flughafen,46.64833,14.31833,450.0,1996-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,48,1996-09-01 00:00:00+00:00,,nein
20220,11278,Pörtschach,46.63083,14.16528,450.0,1996-12-10 11:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,198,1982-10-01 00:00:00+00:00,,nein
20270,11227,Feldkirchen,46.72194,14.09694,546.4,1995-05-04 11:50:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,nein
20408,11224,Völkermarkt,46.661388,14.618611,473.1,2008-07-23 00:10:00+00:00,2015-10-14 00:00:00+00:00,Kärnten,True,True,,188,2008-07-23 00:00:00+00:00,2015-10-13 23:59:59+00:00,nein
20411,11257,Völkermarkt-Goldbrunnhof,46.670834,14.639167,466.0,2015-10-20 00:10:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,188,2015-10-20 00:00:00+00:00,,nein
20412,11232,Feistritz ob Bleiburg,46.561389,14.765,523.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,91,2007-09-01 00:00:00+00:00,,nein
20901,11248,Bad Radkersburg,46.68667,15.97861,208.0,1992-08-29 00:10:00+00:00,2000-06-08 00:00:00+00:00,Steiermark,True,True,,11,1992-08-01 00:00:00+00:00,2000-12-31 23:59:59+00:00,nein
20902,11248,Bad Radkersburg,46.68583,15.97944,209.8,2001-02-22 10:10:00+00:00,2016-04-07 00:00:00+00:00,Steiermark,True,True,,11,2001-02-01 00:00:00+00:00,2016-03-31 23:59:59+00:00,nein
20903,11264,Bad Radkersburg,46.69222,15.99333,207.0,2016-04-07 00:10:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,11,2016-04-01 00:00:00+00:00,,nein
21101,11217,Loibl/Tunnel,46.44389,14.24917,1096.9,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,206,2008-01-01 00:00:00+00:00,,nein
21300,11234,Bad Eisenkappel,46.49056,14.59333,623.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,21,1983-01-01 00:00:00+00:00,,nein
